state,district,disease,no_of_cases,no_deaths,start_of_outbreak,reporting_data,status,action
Madhya Pradesh,Shahdol,Acute Diarrheal Disease,18,0.0,02-07-2025,03-07-2025,Under Surveillance,"Cases were reported from Village Nemach, PHC Jaitpur, Sub-District Budar, District Shahdol. Cases presented with loose stools and vomiting. 2 stool samples were collected and sent to GMC. Stool samples did not show growth of any pathogenic organism. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Maharashtra,Dharashiv,Suspected Food Poisoning,19,0.0,04-07-2025,05-07-2025,Under Control,"Cases were reported from Captain Joshi Smarak High School Yenegur, Sub-District Umarga, District Dharashiv. Cases presented with fever, headache, pain abdomen and weakness. All the cases developed the symptoms after eating food in school. District RRT investigated the outbreak. 4 patients referred to SDH Umerga. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Maharashtra,Gadchiroli,Complicate d Malaria (Plasmodiu m falciparum),2,2.0,04-07-2025,05-07-2025,Under Surveillance,"Cases were reported from Village Jambhali, Sub-District Dhanora, District Gadchiroli. Cases presented with fever and loose stools. Total 2 blood samples found positive for Malaria (Plasmodium falciparum) by RDT kits at PHC Karwafa. District RRT investigated the outbreak. Cases treated with anti-malarial and other supportive treatment. Community awareness and health education given by peripheral team on vector control measures, hygiene and sanitation. Two persons died due to Complicated Malaria. 28-year-old male expired on 04/07/2025 at GMC Nagpur and 54-year-old male expired on 06/07/2025 at GH, Gadchiroli."
Maharashtra,Gadchiroli,Mixed Malaria (Plasmodiu m falciparum & Plasmodiu m vivax),9,1.0,28-06-2025,01-07-2025,Under Control,"Cases were reported from Village Parainar, Sub-District Bhamragad, District Gadchiroli. Cases presented with fever and loose stools. Total 9 blood samples found positive for malaria (3 for Plasmodium vivax and 6 for plasmodium falciparum) by RDT kits at PHC Karwafa. District RRT investigated the outbreak. Cases treated with anti-malarial and other supportive treatment. Community awareness and health education given by peripheral team on vector control measures, hygiene and sanitation. Two persons died due to Complicated Malaria. A 14-year-old female expired on 28/06/2025 at SDH, Aheri due to Complicated Malaria."
Maharashtra,Nanded,Acute Diarrheal Disease,27,0.0,30-06-2025,30-06-2025,Under Surveillance,"Cases were reported from Village Nemach, PHC Jaitpur, Sub-District Budar, District Shahdol. Cases presented with loose stools and vomiting. 2 stool samples and 4 water samples were collected and sent to DPHL. Stool samples did not show growth of any pathogenic organism. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Meghalaya,South Garo Hills,Suspected Typhoid,12,0.0,05-06-2025,05-07-2025,Under Surveillance,"Cases were reported from Village Siju, Sub-District Baghmara, District South Garo Hills. Cases presented with fever, chills, nausea and vomiting. 12 blood tested positive for Salmonella typhi by Widal test at Siju PHC. Age group of the affected cases were 19-46 years. Community awareness and health education given by peripheral team on hygiene and sanitation."
Odisha,Bargarh,Acute Diarrheal Disease,63,0.0,05-07-2025,05-07-2025,Under Surveillance,"Cases were reported from Village Hiralipali, Sub-District Attabira, District Bargarh. Cases presented with nausea, vomiting and loose motion. 24 rectal swabs and 19 water samples were collected and sent to DPHL, Bargarh. Rectal Swabs did not show growth of any pathogenic organism, Water sample found unfit for potable purpose. Cases treated symptomatically. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Odisha,Cuttack,Acute Diarrheal Disease,22,0.0,02-07-2025,02-07-2025,Under Surveillance,"Cases were reported from Village Sahangagopalpur, Sub-District Banki, District Cuttack. Cases presented with vomiting and loose motion. 2 rectal swabs and 5 water samples were collected and sent to DPHL, Cuttack. Rectal Swabs did not show growth of any pathogenic organism, Water sample found fit for potable purpose. Cases treated symptomatically. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Odisha,Ganjam,Acute Diarrheal Disease,24,0.0,06-07-2025,06-07-2025,Under Surveillance,"Cases were reported from Village Ustapalli, Sub-District Digapahandi, District Ganjam. Cases presented with vomiting and loose motion. 1 stool sample and 4 water samples were collected and sent to DPHL, Ganjam. Stool sample did not show growth of any pathogenic organism, Water sample found fit for potable purpose. Cases treated symptomatically. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Odisha,Rayagada,Suspected Food Poisoning,10,0.0,06-07-2025,06-07-2025,Under Control,"Cases were reported from Village Tikarapada, Sub-District Doraguda, District Rayagada. Cases presented with vomiting and loose stools. All the cases developed the symptoms after eating forest mushroom in a family get together on 05-07-2025. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Tamil Nadu,Cuddalore,Hepatitis A,14,0.0,26-06-2025,30-06-2025,Under Surveillance,"Cases were reported from Dheevalur colony Sub-District Nallur, District Cuddalore. Cases presented with symptoms of fever, jaundice. 51 blood samples tested at DPHL Cuddalore and 14 samples found positive for Hepatitis A IgM by ELISA, District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Tamil Nadu,Salem,Chickenpox,7,0.0,04-07-2025,04-07-2025,Under Surveillance,"Cases were reported from Village Sikkanampatty Colony, Sub-District Kadayampatti, District Salem. Cases presented with fever with rash. 3 blood samples were collected and sent to Kings Institute, Guindy. All the samples found positive for the Varicella Zoster IgM by ELISA. District RRT investigated the outbreak. Age group of the affected cases was 6-10 years. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Tamil Nadu,Salem,Acute Diarrheal Disease,40,0.0,06-07-2025,06-07-2025,Under Control,"Cases were reported from Village Erumapalayam Extension – Kaara Santhu, Sub-District Salem, District Salem. Cases presented with loose stools and vomiting. 2 water samples were collected and sent to DPHL Mettur. Water samples found fit for potable purpose. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,Acute Diarrheal Disease,11,0.0,04-07-2025,04-07-2025,Under Surveillance,"Cases were reported from Satish Bhai ki Chawl, Village Athola & Athal, Sub- District Dadra & Nagar Haveli, District Dadra And Nagar Haveli. Cases presented with loose stools and vomiting. 10 water samples were collected and sent to Namo Medical College, Silvasa. Six water samples found unfit for potable purpose. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Andhra Pradesh,Eluru,Acute Diarrheal Disease,11,0.0,01-02-2025,,Under Control,"Cases were reported from Village Vatluru Sub-District Pedapadu, District Eluru. Cases presented with loose motion and vomiting. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Assam,Dhemaji,Japanese Encephalitis,12,3.0,01-04-2025,,Under Surveillance,"Cases were reported from all the 5 BPHCs in Dhemaji district. Cases presented with fever, headache, body pain and altered sensorium. A total of 30 CSF samples and 2 serum samples were collected and tested at AMCH, DCH Dhemaji, and a private lab. 12 samples found positive for JE. District RRT investigated the outbreak. Cases treated at hospital. Community awareness and health education given by peripheral team on hygiene and sanitation. A 3-year-old female, 15-year-old female and a 5-year-old male expired due to illness on 30th June, 2025, 9th July, 2025 and 12th July, 2025 repectively."
Bihar,Supaul,Suspected Food Poisoning,6,0.0,28-01-2025,,Under Surveillance,"Cases were reported from Middle School Sankarpatti, Chhatapur Sub-District Chhatapur, District Supaul. Cases presented with vomiting and diarrhea after consumption of food at school. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation. ORS was distributed."
